LEName,WellName,CorpID,ForecastGeneratedFrom,Wedge,LE_Date,Update_Date,Update_User
SoHaFebruaryForecast,Glenwood,Glenwood,,Base,2020-02-01 00:00:00.000,2020-01-30 13:49:52.000,Travis Comer
SoHaFebruaryForecast,Irritator 1H,Irritator 1H,,,2020-02-01 00:00:00.000,2020-01-30 13:51:44.000,Travis Comer
SoHaFebruaryForecast,Nash,Nash,,,2020-02-01 00:00:00.000,2020-01-30 13:49:53.000,Travis Comer
SoHaFebruaryForecast,Oak Hill,Oak Hill,,Base,2020-02-01 00:00:00.000,2020-01-30 13:49:56.000,Travis Comer
SoHaFebruaryForecast,Pluto 2HR,Pluto 2HR,,,2020-02-01 00:00:00.000,2020-01-30 13:51:46.000,Travis Comer
SoHaFebruaryForecast,Rhea 1H,Rhea 1H,,,2020-02-01 00:00:00.000,2020-01-30 13:51:37.000,Travis Comer
SoHaFebruaryForecast,Rhea 1HB,Rhea 1HB,,,2020-02-01 00:00:00.000,2020-01-30 13:51:39.000,Travis Comer
SoHaFebruaryForecast,Rhea 2HU,Rhea 2HU,,,2020-02-01 00:00:00.000,2020-01-30 13:51:40.000,Travis Comer
SoHaFebruaryForecast,Stockman,Stockman,,Base,2020-02-01 00:00:00.000,2020-01-30 13:49:59.000,Travis Comer
SoHaFebruaryForecast,Ttops 2 H B,Ttops 2 H B,,,2020-02-01 00:00:00.000,2020-01-30 13:51:24.000,Travis Comer
SoHaFebruaryForecast,Walker J 3HB,Walker J 3HB,,,2020-02-01 00:00:00.000,2020-01-30 13:51:41.000,Travis Comer
SoHaFebruaryForecast,West Carthage,West Carthage,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:02.000,Travis Comer
SoHaFebruaryForecast,Woodlawn,Woodlawn,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:07.000,Travis Comer
SoHaFebruaryForecast_v2,Nelson Hay 1 H,13071342-000,,Base,2020-02-01 00:00:00.000,2020-02-04 10:01:32.000,Travis Comer
SoHaFebruaryForecast_v2,Aclco Hay 1 H,13387002-000,,Base,2020-02-01 00:00:00.000,2020-02-04 10:01:16.000,Travis Comer
SoHaFebruaryForecast_v2,Aclco Hay 2 1 H,13763119-000,,Base,2020-02-01 00:00:00.000,2020-02-04 10:01:18.000,Travis Comer
SoHaFebruaryForecast_v2,Sarge 1 H R,13860389-001,,Base,2020-02-01 00:00:00.000,2020-02-04 10:01:35.000,Travis Comer
SoHaFebruaryForecast_v2,Wombat 1 H,14248578-000,,Base,2020-02-01 00:00:00.000,2020-02-04 10:01:41.000,Travis Comer
SoHaFebruaryForecast_v2,Wombat 2 H,14248579-000,,Base,2020-02-01 00:00:00.000,2020-02-04 10:01:42.000,Travis Comer
